ENROLLMENT,TUITION PAYMENT MARCH 2022,TUITION PAYMENT MARCH 2023,GENDER,TYPE OF EDUCATIONAL INSTITUTION,EDUCATIONAL INSTITUTION,INSTITUTION STATUS,DEPARTMENT,PROVINCE,DISTRICT,CLASSIFICATION,CAMPUS,FACULTY,PROGRAM/MAJOR,SHIFT/SCHEDULE,BENEFIT DISCOUNTS,STUDY MODE,AGE RANGE OF ENROLLED STUDENT,DISABILITY,NUMBER OF ENROLLED COURSES,AT-RISK COURSE
1,0,0,1,,,,4,158,219,1,6,6,40,1,4,0,3,0,3,3
1,1,1,2,,,,14,98,308,0,6,2,22,2,4,0,4,0,2,0
1,0,0,1,,,,14,98,256,1,6,3,24,1,4,0,4,0,2,0
1,0,0,1,,,,14,98,532,1,6,6,36,2,4,0,3,0,3,3
1,1,1,1,,,,14,98,157,2,6,6,42,0,4,2,3,0,4,0
1,0,0,1,,,,14,98,540,1,6,6,45,2,4,0,2,0,1,0
1,1,1,2,COLEGIO,MENTES BRILLANTES,PRIVADA,14,98,308,1,6,1,17,2,4,0,3,0,2,0
1,0,0,2,,,,14,98,54,2,6,0,8,1,4,0,4,0,3,0
1,0,0,1,,,,14,98,536,1,6,6,46,2,4,0,3,0,0,0
1,1,1,2,,,,14,98,295,3,6,2,20,2,4,1,3,0,2,0
1,0,0,1,,,,14,98,660,1,6,6,32,0,4,0,3,0,0,0
1,0,0,2,,,,14,98,308,1,6,4,78,1,4,0,2,0,0,0
1,0,0,1,,,,14,98,532,1,6,1,17,1,4,0,4,0,2,0
1,1,1,1,,,,14,80,235,1,6,6,40,2,4,0,3,0,3,0
1,0,0,2,INSTITUTO,IDAT,PRIVADA,14,98,660,1,6,0,4,2,4,2,2,0,1,0
1,0,0,2,,,,14,98,324,1,6,3,24,1,4,0,2,0,0,0
1,1,1,2,,,,14,98,532,1,6,0,10,0,4,0,3,0,2,0
1,1,1,1,,,,14,98,308,1,6,0,0,2,4,0,3,0,1,0
1,0,0,2,,,,14,98,659,1,6,6,40,0,4,0,3,0,0,0
1,1,1,2,,,,14,98,606,3,6,0,2,2,4,1,3,0,1,0
1,0,0,1,,,,14,98,532,1,6,6,32,2,4,0,4,0,2,2
1,1,1,2,,,,14,98,320,1,6,4,78,0,4,0,3,0,2,0
1,1,0,2,,,,14,98,182,1,6,0,10,1,4,2,3,0,1,0
1,0,0,2,,,,14,98,182,1,6,4,78,2,4,0,3,0,3,0
1,1,0,2,,,,14,98,157,1,6,6,45,2,4,0,2,0,1,0
1,1,1,2,,,,14,98,533,2,6,5,68,1,4,0,3,0,1,0
1,0,0,1,,,,14,98,513,1,6,6,45,1,4,0,4,0,2,2
1,0,0,2,,,,14,98,157,2,6,2,23,1,4,2,3,0,2,0
1,1,1,2,,,,14,98,32,1,6,2,19,2,4,2,3,0,3,0
1,0,0,2,,,,14,98,533,1,6,5,52,2,4,0,2,0,0,0
1,1,1,1,,,,14,98,560,1,6,5,33,2,4,0,3,0,2,0
1,1,1,2,,,,14,98,308,1,6,5,47,2,4,0,4,0,2,0
1,0,0,2,,,,14,98,573,1,6,1,17,2,4,2,4,0,2,0
1,0,0,1,,,,14,98,256,0,6,5,62,2,4,0,3,0,0,0
1,1,1,1,,,,14,98,513,1,6,6,50,2,4,0,3,0,2,0
1,1,1,2,,,,14,98,308,1,6,5,33,2,4,0,3,0,1,1
1,1,1,1,,,,14,98,659,1,6,5,33,2,4,0,4,0,1,0
1,0,0,2,,,,14,98,660,1,6,4,78,2,4,0,4,0,2,0
1,1,1,2,,,,14,98,532,0,6,0,7,2,4,0,4,0,3,0
1,1,1,1,,,,14,98,560,1,6,5,52,0,4,0,3,0,1,0
1,0,0,1,,,,14,98,540,1,6,3,24,2,4,0,3,0,3,0
1,0,0,2,,,,14,98,295,1,6,4,78,1,4,2,3,0,3,0
1,0,0,1,,,,6,24,68,1,6,1,18,1,4,0,3,0,2,0
1,1,1,1,,,,14,98,144,1,6,5,33,2,4,0,2,0,1,0
1,1,1,2,,,,14,98,309,1,6,5,56,1,4,0,3,0,2,0
1,0,0,2,COLEGIO,6050 JUANA ALARCO DE DAMMERT,ESTATAL,14,98,533,0,6,0,7,1,4,0,4,0,2,0
1,1,1,1,,,,14,98,536,1,6,5,31,2,4,0,3,0,1,0
1,1,1,1,,,,14,98,573,1,6,4,78,2,4,0,3,0,3,0
1,1,1,2,,,,14,98,157,2,6,0,6,1,4,0,3,0,2,0
1,1,1,1,,,,14,98,492,1,6,6,40,0,4,0,2,0,3,0
1,1,1,1,,,,14,98,157,1,6,0,4,1,4,0,2,0,2,0
1,0,0,2,COLEGIO,TECHNOLOGY,PRIVADA,14,98,560,1,6,4,78,1,4,2,2,0,2,0
1,0,0,1,,,,14,28,509,0,6,5,62,1,4,0,4,0,1,0
1,1,1,1,,,,14,98,308,1,6,5,16,2,4,0,3,0,3,0
1,1,1,1,COLEGIO,JOSE MARIA ARGUEDAS,ESTATAL,14,98,660,0,6,5,59,2,4,0,4,0,3,0
1,0,0,2,COLEGIO,PAMER,PRIVADA,14,98,543,1,6,4,78,1,4,2,2,0,1,0
1,0,0,2,UNIVERSIDAD,UNIVERSIDADDESANMARTÍNDEP,PRIVADA,14,98,540,1,6,0,1,1,4,2,4,0,1,0
1,0,0,1,INSTITUTO,ESCUELA SUPERIOR DE FORMACION,ESTATAL,14,98,659,1,6,6,48,2,4,0,3,0,1,0
1,1,1,1,,,,14,98,532,2,6,6,50,2,4,1,3,0,1,1
1,1,1,1,,,,14,98,533,0,6,5,62,2,4,0,4,0,2,0
1,1,1,1,COLEGIO,JOSE BERNARDO ALCEDO,ESTATAL,14,98,536,1,6,6,48,2,4,0,2,0,1,0
1,1,1,1,COLEGIO,JOHANNES KEPLER II,PRIVADA,14,98,560,0,6,5,62,2,4,0,4,0,2,2
1,1,1,1,COLEGIO,UNIVERSIDADDEINGENIERÍAYTE,ESTATAL,14,98,543,1,6,5,16,2,4,0,4,0,2,0
1,1,1,1,COLEGIO,7057 SOB.ORDEN MILITAR DE MALT,ESTATAL,14,98,660,1,6,6,57,2,4,0,2,0,1,0
1,1,1,1,COLEGIO,NUESTRA SEÑORA DE LA CONSOLACI,PRIVADA,14,98,532,1,6,6,50,2,4,0,2,0,2,0
1,1,1,1,COLEGIO,SEÑOR DE LA ASCENSION,PRIVADA,14,98,402,1,6,0,1,0,4,2,3,0,1,0
1,1,1,2,INSTITUTO,ARZOBISPO LOAYZA (SANTA MARIA,PRIVADA,14,98,32,1,6,5,51,2,4,0,4,0,1,0
1,1,1,1,UNIVERSIDAD,UNIVERSIDADPERUANADECIENCIA,PRIVADA,14,98,182,1,6,5,16,0,4,0,4,0,2,0
1,1,1,1,,,,14,98,659,2,6,5,72,2,4,0,2,0,3,0
1,1,1,1,COLEGIO,SACO,PRIVADA,6,24,68,1,6,6,40,2,4,2,2,0,2,0
1,0,0,1,COLEGIO,UNIVERSIDADNACIONALDELCALLA,ESTATAL,14,98,532,1,6,5,33,0,4,2,4,0,1,0
1,1,1,1,,,,14,98,573,0,6,0,7,2,4,0,4,0,2,0
1,1,1,2,,,,14,98,32,3,6,5,53,1,4,0,2,0,1,0
1,1,1,1,INSTITUTO,ESCUELA SUPERIOR PRIVADA DE TE,PRIVADA,14,98,308,1,6,6,57,2,4,0,3,0,2,0
1,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,144,0,6,0,7,0,2,0,2,0,2,0
